experimentType:,1d,,,2d,,,1d,,,2d,,,1d,,,2d,,,1d,,,2d,,,1d,,,2d,,,1d,,,2d,,
numOfItems:,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,
time:,200,,,200,,,300,,,300,,,400,,,400,,,200,,,200,,,300,,,300,,,400,,,400,,
question:,question_1,question_2,,question_1,question_2,,question_1,question_2,,question_1,question_2,,question_1,question_2,,question_1,question_2,,question_1,question_2,,question_1,question_2,,question_1,question_2,,question_1,question_2,,question_1,question_2,,question_1,question_2,
,7,*,,6,*,,4,*,,9,*,,9,*,,11,*,,*,6,,*,9,,*,6,,*,5,,*,10,,*,6,
,9,*,,6,*,,4,*,,6,*,,9,*,,6,*,,*,8,,*,8,,*,9,,*,8,,*,6,,*,9,
